row_label,embedding_dim,mean_abs_shap,aac_ctd_feature,pearson_r_raw,p_value_raw,pearson_r_partial,p_value_partial,p_adj_fdr_raw,p_adj_fdr_partial,shrinkage
dim 625,625,1.0250282,AAC_A,-0.2825317973479122,1.174252444916629e-18,-0.23491959810082544,3.2511681143775465e-13,5.827642148620417e-18,2.911233646654425e-12,0.047612199247086734
dim 625,625,1.0250282,AAC_C,-0.13178092849513032,5.206742007605391e-05,-0.09773854493242515,0.002744438727566233,0.00010272013175075018,0.006022618495447581,0.03404238356270517
dim 625,625,1.0250282,AAC_D,0.22235559868239685,5.832806044997627e-12,0.06316757320784264,0.05324387043472549,2.0378213588171625e-11,0.08628555422221404,0.1591880254745542
dim 625,625,1.0250282,AAC_E,0.576399246950105,4.634400587335864e-84,0.34733735676682564,5.882187710510322e-28,2.456967930428855e-82,1.836122145149951e-26,0.22906189018327938
dim 625,625,1.0250282,AAC_F,0.17383706283842862,8.557987059904958e-08,0.07075231927295991,0.030342981022157135,2.2140725623611588e-07,0.05173331118632202,0.1030847435654687
dim 625,625,1.0250282,AAC_G,-0.274271531285456,1.2433989182045166e-17,-0.17599301753013308,5.8799965927288534e-08,5.949788519775194e-17,2.8838749808684833e-07,0.09827851375532293
dim 625,625,1.0250282,AAC_H,0.4075376038456695,8.470834081926184e-39,0.1412268075198598,1.4312544779905533e-05,8.370587524743626e-38,4.823804194236577e-05,0.2663107963258097
dim 625,625,1.0250282,AAC_I,0.31235911976229364,1.1852252543988003e-22,0.15711212325199814,1.3455951692841942e-06,6.720971731225795e-22,5.356719744230285e-06,0.1552469965102955
dim 625,625,1.0250282,AAC_K,0.4656504590884478,1.3314019666412306e-51,0.26376699836319695,2.229342169367802e-16,1.9386355714418693e-50,2.631096411904049e-15,0.20188346072525087
dim 625,625,1.0250282,AAC_L,0.43452686649072586,1.9513807578003418e-44,0.27794100437238545,4.40175398618365e-18,2.30304301450641e-43,5.765434632883682e-17,0.1565858621183404
dim 625,625,1.0250282,AAC_M,0.22894411833265627,1.310958802980735e-12,0.03638624054169405,0.2658454176120989,4.7905934375882434e-12,0.34469966325702267,0.19255787779096223
dim 625,625,1.0250282,AAC_N,0.016363943148033605,0.6168831377869941,0.027480737770235363,0.40077736379848006,0.6610169009331281,0.48535039705834787,-0.011116794622201758
dim 625,625,1.0250282,AAC_P,-0.47714018156883675,1.931865050585437e-54,-0.1839643465128414,1.4098084948816329e-08,3.05802335021581e-53,7.594774795007507e-08,0.2931758350559953
dim 625,625,1.0250282,AAC_Q,0.11885301568495049,0.0002661263494941716,0.06675764391704589,0.0410491181648149,0.0004873146969904239,0.06794056227476797,0.0520953717679046
dim 625,625,1.0250282,AAC_R,-0.07239358356479861,0.026694886247189298,0.035405821570079626,0.2789500036779182,0.037636521766826615,0.35820569484207876,0.03698776199471898
dim 625,625,1.0250282,AAC_S,-0.5445416201315553,1.8530213506533305e-73,-0.28951196971874527,1.5013325949369548e-19,6.067736579590318e-72,2.248632675824856e-18,0.25502965041281
dim 625,625,1.0250282,AAC_T,-0.5686236371575759,2.2960826659971044e-81,-0.2996320978444334,6.859874678315886e-21,1.1114371165841056e-79,1.1689786441619928e-19,0.2689915393131425
dim 625,625,1.0250282,AAC_V,0.06870952326939987,0.03547382132283985,0.07412283106232284,0.023266694586798278,0.04902363214135512,0.04085739217660686,-0.0054133077929229695
dim 625,625,1.0250282,AAC_W,-0.13867311960163167,2.046299320229265e-05,-0.04915173031022299,0.13272117174233217,4.1878919911554816e-05,0.19066978222384973,0.08952138929140868
dim 625,625,1.0250282,AAC_Y,0.04660022237784113,0.154063483961185,-0.011499091951256046,0.7251876158078653,0.19065284788082915,0.776474581233669,0.03510113042658508
dim 625,625,1.0250282,Hydrophobicity_C1,0.6041726308225456,2.650426140703682e-94,0.3904936682377085,1.7025444129911424e-35,2.0587030953372787e-92,9.47749723231736e-34,0.2136789625848371
dim 625,625,1.0250282,Hydrophobicity_C2,-0.65298161857446,5.70139941471098e-115,-0.4297568364216351,2.110248597521557e-43,1.002246002375509e-112,1.9049271123572976e-41,0.22322478215282493
dim 625,625,1.0250282,Hydrophobicity_C3,0.5512054679159382,1.393773638256918e-75,0.3344445406601031,6.384440499249228e-26,5.005595647073233e-74,1.6154569142039712e-24,0.21676092725583507
dim 625,625,1.0250282,Hydrophobicity_T12,0.05891635399210781,0.07144868657807046,-0.02797067580125586,0.3924296128616258,0.0946227649368578,0.4767969832513023,0.03094567819085195
dim 625,625,1.0250282,Hydrophobicity_T13,0.6068936734631145,2.3170912455623165e-95,0.382137024116584,6.043095078266723e-34,1.8875816488239359e-93,3.1052211632939775e-32,0.2247566493465305
dim 625,625,1.0250282,Hydrophobicity_T23,-0.2962290737574499,1.9631949337165258e-20,-0.21267563962524016,4.807160852296871e-11,1.0326096186792435e-19,3.423436513149584e-10,0.08355343413220973
dim 625,625,1.0250282,Hydrophobicity_group1_D0,-0.03723622019927642,0.25483202783636955,-0.07612315437954856,0.01978311451127239,0.2999558672965663,0.035353452363643546,-0.038886934180272135
dim 625,625,1.0250282,Hydrophobicity_group1_D25,-0.3927993939182408,6.243824807121938e-36,-0.08046281241388893,0.013750686720818538,5.546376291432786e-35,0.025416321885740962,0.3123365815043519
dim 625,625,1.0250282,Hydrophobicity_group1_D50,-0.1875959321721412,7.200678495537782e-09,-0.01679128068708622,0.6077143204312071,2.0347094902788656e-08,0.6781872517027588,0.170804651485055
dim 625,625,1.0250282,Hydrophobicity_group1_D75,-0.23400084379425468,4.038682826782219e-13,-0.05825765556300348,0.07467963628634211,1.520766701403902e-12,0.11569108775342424,0.17574318823125118
dim 625,625,1.0250282,Hydrophobicity_group1_D100,0.29150827325249373,8.248227399884207e-20,0.17160014043926905,1.2570743170838332e-07,4.25140115981686e-19,5.896949745870791e-07,0.11990813281322468
dim 625,625,1.0250282,Hydrophobicity_group2_D0,0.1935036159554654,2.3456768596540393e-09,0.07226954875230539,0.026956720485519177,6.878455409345471e-09,0.04673428960118771,0.12123406720316
dim 625,625,1.0250282,Hydrophobicity_group2_D25,0.3647606248909657,7.304426777364733e-31,0.08562462662978518,0.008733150408233515,5.660507061809329e-30,0.01702785893957965,0.2791359982611805
dim 625,625,1.0250282,Hydrophobicity_group2_D50,0.13766818395809532,2.3513952491524838e-05,-0.022031220438725272,0.5005864888716826,4.785898922711332e-05,0.5791336587569864,0.11563696351937006
dim 625,625,1.0250282,Hydrophobicity_group2_D75,0.20129922592113303,5.055027962963142e-10,0.0490199386643555,0.13376441255715488,1.5522268065113612e-09,0.19174812787162973,0.15227928725677753
dim 625,625,1.0250282,Hydrophobicity_group2_D100,-0.18018884488864617,2.7949502176051072e-08,-0.10144391314159384,0.0018764353132600358,7.522267306044367e-08,0.004257672517859049,0.07874493174705233
dim 625,625,1.0250282,Hydrophobicity_group3_D0,-0.3134398602304887,8.319791802801046e-23,-0.11809730743964286,0.00029135026694777937,4.774588422913315e-22,0.0007822426781395362,0.19534255279084584
dim 625,625,1.0250282,Hydrophobicity_group3_D25,-0.3455874085693101,1.1258289942934683e-27,-0.11346951542662884,0.0005014850979360135,7.689711331166021e-27,0.0012785955932109049,0.23211789314268125
dim 625,625,1.0250282,Hydrophobicity_group3_D50,-0.17671993076428508,5.175667935625948e-08,-0.06277683779452137,0.05473707312327418,1.3633068537058885e-07,0.08840513744281225,0.11394309296976371
dim 625,625,1.0250282,Hydrophobicity_group3_D75,-0.09118381563576677,0.005217761523890648,-0.08516463532857525,0.009102290052036745,0.008139805459969531,0.01768565955427733,0.006019180307191521
dim 625,625,1.0250282,Hydrophobicity_group3_D100,-0.07502773465022189,0.021629876832392883,-0.06076429803046971,0.06299054650995774,0.03086022580956524,0.09971015419111792,0.014263436619752178
dim 625,625,1.0250282,NormVanDerWaalsVolume_C1,-0.6387563986315878,1.4705218530870327e-108,-0.40961492821804824,3.251146924565972e-39,1.9646171957242756e-106,2.413073495122299e-37,0.2291414704135396
dim 625,625,1.0250282,NormVanDerWaalsVolume_C2,0.6208335398137587,6.003449645371119e-101,0.4157252978828409,1.868900216125868e-40,5.419330220416091e-99,1.522469932161073e-38,0.20510824193091776
dim 625,625,1.0250282,NormVanDerWaalsVolume_C3,0.47018702418386416,1.0387815255386882e-52,0.24639631152457217,2.0021609842115163e-14,1.54889745325858e-51,2.0512937691001426e-13,0.22379071265929198
dim 625,625,1.0250282,NormVanDerWaalsVolume_T12,-0.25118678289340085,5.9911176728447995e-15,-0.1381873849070636,2.1887413545489013e-05,2.482671591476629e-14,7.160035381188375e-05,0.11299939798633726
dim 625,625,1.0250282,NormVanDerWaalsVolume_T13,-0.07416688303101278,0.023184594042808503,-0.1415693830134547,1.3635921793658997e-05,0.03293770485026814,4.6097144525122524e-05,-0.06740249998244192
dim 625,625,1.0250282,NormVanDerWaalsVolume_T23,0.5684716370622359,2.5879514905275745e-81,0.3796723031359933,1.6980572872913962e-33,1.2348225683374428e-79,8.340457852284211e-32,0.1887993339262426
dim 625,625,1.0250282,NormVanDerWaalsVolume_group1_D0,0.1764654800603266,5.412384169734622e-08,0.04655881816699432,0.15443011466192522,1.4222945025109078e-07,0.21800362762926045,0.12990666189333228
dim 625,625,1.0250282,NormVanDerWaalsVolume_group1_D25,0.28384935691031193,7.999634290095194e-19,0.03560236968878894,0.2762883341360103,4.0118286079456375e-18,0.35547112327206254,0.248246987221523
dim 625,625,1.0250282,NormVanDerWaalsVolume_group1_D50,0.07567181063607924,0.02052668940428428,-0.03630106408740506,0.26696683719359443,0.02936151717786274,0.3452927264302576,0.039370746548674174
dim 625,625,1.0250282,NormVanDerWaalsVolume_group1_D75,0.20277561380731904,3.753359690827594e-10,0.07148300564127892,0.02866916291429944,1.1646170572790735e-09,0.049256689369218176,0.1312926081660401
dim 625,625,1.0250282,NormVanDerWaalsVolume_group1_D100,-0.16096139907942544,7.313290903998203e-07,-0.07574047798689555,0.02041201576856262,1.7213806638022548e-06,0.03634122210394411,0.08522092109252989
dim 625,625,1.0250282,NormVanDerWaalsVolume_group2_D0,-0.04885158078713348,0.13510630549655184,-0.028431965245057936,0.38466698439478575,0.16869348050784416,0.46895453874941706,0.020419615542075546
dim 625,625,1.0250282,NormVanDerWaalsVolume_group2_D25,-0.29499977165572056,2.860366413926046e-20,-0.05984175084327267,0.06710365599139279,1.4974332010208456e-19,0.1054215479827149,0.23515802081244788
dim 625,625,1.0250282,NormVanDerWaalsVolume_group2_D50,-0.029967027507167704,0.3595170791132677,0.05944499905962682,0.06893918038105576,0.41108765636368166,0.10784864752820901,-0.02947797155245912
