overall_rank,model,f1,auc,pr_auc,mcc,mean_triad_overlap,mean_permutation_z,calb_negative_control_overlap,rank_f1,rank_auc,rank_pr_auc,rank_mcc,rank_mean_triad_overlap,rank_mean_permutation_z,avg_rank
1,M1: ESM-2 + XGBoost,0.9130434782608696,0.9867909867909868,0.904782119737485,0.8970584961276578,0.5,1.7588974371674655,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.8333333333333333
2,M4: ProtT5 + RF,0.8301886792452831,0.9813519813519814,0.8459457513493294,0.8093743562995036,1.5,5.626945914772784,1.0,4.0,4.0,4.0,4.0,1.0,2.0,3.1666666666666665
3,M2: ESM-2 + RF,0.7857142857142857,0.9848484848484848,0.8745486410949155,0.7620326869550503,0.5,4.048602601264765,0.0,5.0,2.0,2.0,5.0,3.0,3.0,3.3333333333333335
4,M7: Graph (chain edges),0.8936170212765957,0.9825174825174824,0.8547580131694913,0.8746581746004226,0.0,-0.2682312547811543,1.0,2.0,3.0,3.0,2.0,5.0,7.0,3.6666666666666665
5,M3: ProtT5 + XGBoost,0.7719298245614035,0.9813519813519814,0.8277193698876537,0.7474825474418508,1.0,7.478632443691156,0.0,7.0,4.0,5.0,6.0,2.0,1.0,4.166666666666667
6,M8: Graph (contact-map edges),0.84,0.9541569541569542,0.6407025291674274,0.8142338656533441,0.0,0.4833512546787022,2.0,3.0,7.0,8.0,3.0,5.0,5.0,5.166666666666667
7,M5: AAC/CTD + XGBoost,0.7755102040816326,0.9658119658119658,0.7741490003856313,0.7337070260884487,0.0,0.323949536722725,0.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0
8,M6: AAC/CTD + RF,0.7307692307692307,0.9514374514374514,0.7155945849686487,0.6828201488627126,0.0,-0.4277640380433084,0.0,8.0,8.0,7.0,8.0,5.0,8.0,7.333333333333333
