row_label,embedding_dim,mean_abs_shap,aac_ctd_feature,pearson_r_raw,p_value_raw,pearson_r_partial,p_value_partial,p_adj_fdr_raw,p_adj_fdr_partial,shrinkage
dim 44,44,0.3412208221800177,AAC_A,-0.02241322296764679,0.49318666530710376,0.2156815363544773,2.5238071106214675e-11,0.5303423896090556,3.849093949532284e-10,-0.1932683133868305
dim 44,44,0.3412208221800177,AAC_C,-0.11279609193654547,0.000541831387330409,-0.06894887551969074,0.03483674943191534,0.000815922828531815,0.06296252332391625,0.043847216416854726
dim 44,44,0.3412208221800177,AAC_D,0.2560221662734055,1.7270483003304129e-15,0.09981338125865116,0.002221540367116694,5.136546147020106e-15,0.006062046426609279,0.15620878501475435
dim 44,44,0.3412208221800177,AAC_E,0.32913759681889976,4.1247125615790637e-25,-0.18252563609590974,1.8329634818563745e-08,2.0500803505467373e-24,1.577860316855745e-07,0.14661196072299001
dim 44,44,0.3412208221800177,AAC_F,0.07860239362527247,0.01610322647214013,-0.11309488013009472,0.0005235713974188767,0.021175108825570093,0.0016977946285233478,-0.034492486504822256
dim 44,44,0.3412208221800177,AAC_G,-0.09807676235547305,0.002652185077638364,0.14358968732647834,1.022487600389106e-05,0.0037566998131094726,4.9928488089175644e-05,-0.045512924971005286
dim 44,44,0.3412208221800177,AAC_H,0.42381512914675523,3.884853195758599e-42,0.12927958733852504,7.226880604915058e-05,4.5849504147822336e-41,0.0002809986172341827,0.29453554180823016
dim 44,44,0.3412208221800177,AAC_I,0.14342110263726204,1.0475040881975912e-05,-0.16994464721776292,1.665540036558268e-07,1.7859436725778228e-05,1.204091714741259e-06,-0.02652354458050088
dim 44,44,0.3412208221800177,AAC_K,0.26670593512556157,1.0069633453054838e-16,-0.14004726390804015,1.6895181639340816e-05,3.3102928871262955e-16,7.848387576550532e-05,0.12665867121752142
dim 44,44,0.3412208221800177,AAC_L,0.25362027643078927,3.2141450677634698e-15,-0.067885783924364,0.037742709502142154,9.408627981007879e-15,0.06719650838867526,0.18573449250642526
dim 44,44,0.3412208221800177,AAC_M,0.13508579871741916,3.3459154233633344e-05,-0.17231716393291846,1.1119099538048162e-07,5.537838213098879e-05,8.308230974738447e-07,-0.0372313652154993
dim 44,44,0.3412208221800177,AAC_N,-0.04183387508737707,0.20075457457915663,-0.07034775178610073,0.031305298909048415,0.22652712131567,0.05760864923207808,-0.028513876698723656
dim 44,44,0.3412208221800177,AAC_P,-0.4103167020305145,2.3489509381020277e-39,0.00258991312481637,0.9368952364739683,2.3631012449580637e-38,0.9554329952639561,0.40772678890569813
dim 44,44,0.3412208221800177,AAC_Q,0.06736542483140602,0.039238584937921844,-0.027398664015374753,0.40218610983324243,0.04964275518661324,0.4947703892607844,0.03996676081603127
dim 44,44,0.3412208221800177,AAC_R,-0.08023473168547228,0.01402178236581717,0.046979236551287044,0.15073798226140198,0.018503655907479,0.21617211711167134,0.033255495134185235
dim 44,44,0.3412208221800177,AAC_S,-0.44553267651750933,6.930205948882919e-47,-0.053143319614086984,0.10400952150319351,9.808003334435996e-46,0.15776194451438072,0.39238935690342236
dim 44,44,0.3412208221800177,AAC_T,-0.40721621273702463,9.817664823492352e-39,0.07753921485752722,0.01760049790080791,9.504637829120133e-38,0.035670912007705356,0.3296769978794974
dim 44,44,0.3412208221800177,AAC_V,0.11548759097677333,0.0003967031811704445,0.16727421126878317,2.6072195265942527e-07,0.0006044656136447467,1.8332869934368007e-06,-0.05178662029200984
